method,y_pix,map_pix,time_s,B_los,B_los_abs,B_r,B_r_abs,im_min,im_max,im_mean,map_min,map_max,map_mean
reproject_interp,125,31250,0.716392993927002,2.0653305659252728,57.883703800418985,-3.0771411947758907,137.5375051882116,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1259.1109907651937,976.2640985064616,0.33195379200187614
reproject_adaptive,125,31250,15.132245063781738,-0.3411472294382125,33.19758070964443,-6.560023037362738,75.21011411896038,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-731.0226547550448,414.4142079510591,0.046650771299418047
reproject_exact,125,31250,45.356337785720825,0.1354623729180958,34.10889992834118,-4.9322969121233005,69.36200997252095,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-854.5553363522372,467.43004263960205,0.05190448276640557
reproject_interp,250,125000,0.7718651294708252,-0.11896391973400314,54.11446763545661,-5.131993618078336,128.97771400916307,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1793.750798528805,998.905214205033,0.029334569573993358
reproject_adaptive,250,125000,15.17231822013855,0.3149261753231551,35.81315195575757,-4.275534040334601,80.68377095935172,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1273.7262134913492,800.5851081258603,0.04282612103111349
reproject_exact,250,125000,51.3201961517334,0.21539085303040853,39.657696537231345,-4.639188649089469,86.9632286096078,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1372.5193434007724,873.183907201056,0.04956421423002079
reproject_interp,500,500000,1.3124721050262451,0.1158063863535564,53.227509079901665,-4.033517932139908,113.10449094042849,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1913.3449045278064,1323.3496308672502,0.016309935567568434
reproject_adaptive,500,500000,16.678784132003784,0.25298908022381583,39.61454754247495,-3.6669237564895183,78.77891150275819,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1752.4878239993081,1161.2910195797429,0.031308855290512125
reproject_exact,500,500000,59.218339681625366,0.1975369229379399,45.30161767972737,-5.040135122741878,103.9439034744832,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1805.568229911269,1187.0139123334427,0.048256537891535244
