method,y_pix,map_pix,time_s,B_los,B_los_abs,B_r,B_r_abs,im_min,im_max,im_mean,map_min,map_max,map_mean
OFTpy_interp,125,31250,9.61542797088623,0.8075841,59.24169,-6.5397873,136.54254,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1310.5236,1106.7076,0.14874472
OFTpy_interp,250,125000,9.645838975906372,-0.40423995,58.08881,-6.034183,136.64336,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1701.5316,1127.1672,-0.0066473116
OFTpy_interp,500,500000,9.870598793029785,0.10319511,58.986813,-4.5866876,136.62593,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-1857.3566,1214.996,0.0744522
OFTpy_interp,1000,2000000,10.479520082473755,-0.056620598,58.921066,-5.1016717,137.04297,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-2017.5599,1362.0641,0.04377775
OFTpy_interp,2000,8000000,12.1215238571167,-0.08125913,58.96473,-5.315792,137.09695,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-2198.951,1391.1583,0.04646735
OFTpy_interp,4000,32000000,22.367866039276123,-0.08123494,58.964233,-5.3229594,137.03831,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-2219.366,1399.3221,0.046486307
OFTpy_interp,8000,128000000,211.80609703063965,-0.08179638,58.960705,-5.320951,137.02786,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-2225.2092,1400.5693,0.04647002
OFTpy_interp,12000,288000000,1139.086574792862,-0.08196606,58.960716,-5.321731,137.02785,-2232.2000000000003,1406.6000000000001,0.26563654809289916,-2221.7734,1399.619,0.046464726
